,coords,rating
0,"(55.353523100000004, -131.6870216)",4.0
1,"(56.456338900000006, -132.3717067)",5.0
2,"(61.220018, -149.855702)",3.0
3,"(56.812884399999994, -132.95536099999998)",5.0
4,"(64.83049969999999, -147.7378034)",5.0
5,"(60.4934083, -151.0840602)",5.0
6,"(60.1328811, -149.4426084)",2.0
7,"(61.223542200000004, -149.7175176)",2.0
8,"(64.4987807, -165.38095370000002)",2.0
9,"(58.330919, -134.466026)",1.0
10,"(60.540946399999996, -145.7505887)",3.0
11,"(57.8009, -152.37560770000002)",3.0
12,"(59.652460399999995, -151.5500725)",5.0
13,"(57.0595277, -135.34392060000002)",5.0
14,"(61.1365365, -146.34655610000002)",5.0
15,"(66.89810150000001, -162.5982705)",5.0
16,"(61.220018, -149.855702)",2.0
17,"(60.78575, -161.786545)",3.0
18,"(61.587896, -149.359856)",2.0
19,"(61.594404000000004, -149.27978900000002)",1.0
