,coords,rating
0,"(35.449721, -86.808795)",2.0
1,"(36.084979000000004, -87.38126609999999)",5.0
2,"(35.050397999999994, -85.292158)",2.0
3,"(35.039666, -85.259345)",3.0
4,"(35.76736, -83.9239786)",1.0
5,"(36.3652736, -82.3809678)",5.0
6,"(35.591201500000004, -87.09536779999999)",5.0
7,"(35.898812, -88.756489)",5.0
8,"(36.452561800000005, -83.5718569)",5.0
9,"(35.701408, -85.788053)",4.0
10,"(36.1333291, -82.41313500000001)",4.0
11,"(36.5063824, -86.8782277)",4.0
12,"(35.453841000000004, -86.8164803)",1.0
13,"(35.9910816, -83.9279169)",2.0
14,"(35.4424043, -84.60965739999999)",3.0
15,"(35.193442999999995, -87.014065)",3.0
16,"(35.941264999999994, -84.0408011)",2.0
17,"(35.961603800000006, -83.9297655)",2.0
18,"(35.8483199, -86.3808498)",2.0
19,"(35.599422100000005, -87.0813148)",3.0
20,"(36.1477214, -85.5101039)",4.0
21,"(35.055727, -85.13372140000001)",3.0
22,"(36.0945477, -86.6532269)",3.0
23,"(35.926266, -83.992442)",1.0
24,"(36.390319, -84.113084)",3.0
25,"(35.9491229, -85.8202084)",1.0
26,"(35.2732729, -87.34009259999999)",4.0
27,"(35.2461734, -89.3624729)",5.0
28,"(35.123423, -85.36396239999999)",1.0
29,"(36.388472, -86.434968)",2.0
30,"(35.379831, -85.39299650000001)",3.0
31,"(35.910024299999996, -86.87829029999999)",3.0
32,"(36.021634999999996, -84.23777)",4.0
33,"(35.9249903, -85.4594557)",5.0
34,"(36.0612536, -83.8903836)",1.0
35,"(35.8732634, -83.5438881)",3.0
36,"(35.13676, -89.945014)",5.0
37,"(36.121299300000004, -84.12078989999999)",4.0
38,"(36.185561, -85.4507712)",2.0
39,"(36.4161376, -89.03597359999999)",4.0
41,"(35.0950499, -89.8587924)",3.0
42,"(35.19043009999999, -84.87228379999999)",2.0
43,"(36.260483, -87.001829)",2.0
44,"(35.1821987, -86.0833586)",4.0
45,"(35.206163100000005, -86.09193099999999)",2.0
46,"(35.1407896, -89.996506)",1.0
47,"(36.198857, -86.275741)",2.0
48,"(36.486587, -87.83443799999999)",3.0
49,"(36.4501276, -83.5888121)",2.0
50,"(35.916554, -86.877333)",1.0
51,"(36.051028499999994, -86.7156831)",2.0
52,"(35.977578, -86.509235)",1.0
53,"(36.3203462, -82.35488939999999)",2.0
54,"(35.1211246, -89.94338470000001)",1.0
55,"(36.128151, -86.817165)",1.0
56,"(35.938756999999995, -85.036528)",3.0
57,"(36.0533765, -86.64920980000001)",1.0
58,"(35.493647, -86.4723973)",1.0
59,"(36.2630017, -85.9492415)",4.0
60,"(35.1626535, -86.5204738)",1.0
61,"(36.556596799999994, -82.5433497)",1.0
62,"(35.2488947, -87.3395803)",5.0
63,"(36.3946116, -86.44679260000001)",2.0
64,"(35.6355497, -88.8274587)",5.0
65,"(35.051989999999996, -89.8442745)",5.0
66,"(36.3217641, -86.62010339999999)",3.0
67,"(35.066323399999995, -89.8391614)",1.0
68,"(36.089726, -86.88935000000001)",4.0
69,"(35.05191, -85.14208160000001)",1.0
70,"(36.554868899999995, -82.5072818)",3.0
71,"(35.69098399999999, -84.858457)",1.0
72,"(36.022137, -88.40896500000001)",1.0
73,"(36.486643, -81.813447)",5.0
74,"(36.2177297, -83.30778819999999)",3.0
75,"(35.703998000000006, -85.756249)",1.0
76,"(36.336107000000005, -82.211453)",5.0
77,"(35.1513663, -89.7951212)",2.0
78,"(35.2321698, -89.89007930000001)",1.0
79,"(35.2226522, -89.8076604)",3.0
80,"(35.1768796, -86.08824)",4.0
81,"(35.8849967, -84.61743059999999)",2.0
82,"(36.296606499999996, -88.3088712)",4.0
83,"(36.1591996, -82.8200586)",3.0
84,"(35.269085, -89.00043)",3.0
85,"(35.6148837, -87.0653652)",3.0
86,"(36.5221614, -82.7334776)",1.0
87,"(35.3808709, -86.2288097)",4.0
88,"(36.1015204, -84.5960703)",3.0
89,"(35.1066491, -85.3195108)",1.0
90,"(35.1493868, -89.861688)",3.0
91,"(36.476541000000005, -82.41620200000001)",2.0
92,"(35.194917999999994, -84.856105)",3.0
93,"(35.7279958, -83.9740769)",2.0
94,"(36.1109087, -83.5075141)",3.0
95,"(36.3335865, -88.8686805)",4.0
96,"(36.1026022, -87.7833397)",1.0
97,"(35.783837999999996, -87.4674001)",2.0
98,"(35.727966, -84.332599)",2.0
99,"(36.533498, -84.487348)",1.0
100,"(36.3896977, -86.145775)",3.0
101,"(36.213431500000006, -84.1439527)",1.0
102,"(36.0193517, -84.227946)",1.0
103,"(36.207730700000006, -86.858796)",1.0
104,"(36.58056800000001, -83.640596)",4.0
105,"(36.154340499999996, -82.8261383)",1.0
106,"(36.1058486, -86.819351)",2.0
107,"(36.211678500000005, -86.30759669999999)",5.0
108,"(35.909927599999996, -86.37681599999999)",1.0
109,"(36.3729872, -85.65028360000001)",2.0
110,"(36.0555258, -88.1093595)",3.0
111,"(36.118153, -83.50812)",4.0
112,"(36.3528517, -84.1547086)",3.0
113,"(35.322426, -84.525861)",3.0
